Name,Handle/Channel,Platform,Category,Estimated Followers/Subs,Relevance to VibeTree,Profile URL,Outreach Priority (1-5),Notes
Riley Brown,@rileybrown_ai,YouTube + X,AI App Building,100K+,Made "Complete Guide to Cursor For Non-Coders" (173K views); co-built iOS app in 33 min with Greg Isenberg,https://youtube.com/@rileybrown,5,Already makes VibeTree-type content; ideal first partner
Greg Isenberg,@gregisenberg,YouTube + X,Startup Ideas,600K+ X / 150K newsletter,Hosts "Startup Ideas Podcast"; filmed building iOS app in 33 min; promotes AI tools actively,https://x.com/gregisenberg,5,Massive reach; has covered AI app builders before
Alex Finn,@alexfinndev,YouTube + X,AI Development,100K+ YouTube,Built $300K/yr AI app; "Build your first iOS app in 7 minutes" (91.5K views),https://youtube.com/@alexfinn,5,Claude Code maximalist; perfect VibeTree demo candidate
Theo,@t3dotgg,YouTube + X,Vibe Coding,500K+ YouTube,Top vibe coding voice; viral AI app builder tier list,https://youtube.com/@t3dotgg,5,A VibeTree placement on his tier list = massive signal
Fireship,@fireship_dev,YouTube,Tech Explainers,4M+ YouTube,Fast-paced tech explainers; covers every major AI coding tool,https://youtube.com/@fireship,5,Single mention = massive exposure; reach out via sponsorship
Pieter Levels,@levelsio,X,Indie Hacking,744K X,King of indie hacking; built flight sim in 3 hrs with AI; $300K/mo revenue,https://x.com/levelsio,5,If he tries VibeTree it goes viral instantly
Marc Lou,@marc_louvion,X,Indie Hacking / Build in Public,227K X,"Ships products weekly; $30K+ MRR; audience looking for tools to ship faster",https://x.com/marc_louvion,5,Ships constantly; would try VibeTree in a heartbeat
Chris Raroque,@chrisraroque,YouTube + X,iOS Vibe Coding,Growing,"Solo dev; shipped 4 profitable iOS apps with Cursor + Claude; 2,000+ paid users; featured on Greg Isenberg podcast",https://x.com/chrisraroque,5,Perfect testimonial candidate — already does what VibeTree automates
Tom Wentworth,@tomwentworth,X + Blog,iOS Vibe Coding,Growing,Shipped 4 apps to App Store without knowing Swift using Claude Code; popular blog post,https://x.com/tomwentworth,5,Great testimonial: "I did this manually — VibeTree does it in minutes"
Matt Wolfe,@mabornyreflow,YouTube + X,AI Tools Reviews,Large YouTube,"Runs FutureTools.io; reviews AI tools; hosts The Next Wave Podcast",https://youtube.com/@mreflow,5,AI tools curator — a review here = discoverability
Paul Hudson,@twostraws,YouTube + X,SwiftUI Education,1M+ YouTube,"Runs Hacking with Swift; '100 Days of SwiftUI'; biggest SwiftUI learning resource",https://youtube.com/@twostraws,5,His endorsement = instant iOS dev community credibility
Mckay Wrigley,@mckaywrigley,YouTube + X,AI Development,25K YouTube,"Founder of Takeoff AI; Chatbot UI (33K GitHub stars); teaches coding with AI",https://youtube.com/@realmckaywrigley,4,Building "Spark" AI coding tutor — natural alignment
Tech With Tim,@TechWithTim,YouTube,Coding Tutorials,2M+ YouTube,Cursor vibe coding tutorial (347.8K views); beginner-friendly,https://youtube.com/@TechWithTim,4,Massive beginner audience that matches VibeTree's target
Traversy Media,@traversabornymed,YouTube,Web Dev Tutorials,2.3M YouTube,Brad Traversy; project-based tutorials; 500K+ course students,https://youtube.com/@TraversyMedia,4,Huge audience of aspiring developers
Web Dev Simplified,@WebDevSimplified,YouTube,Web Dev Tutorials,1.46M YouTube,Complex concepts made accessible; strong engagement,https://youtube.com/@WebDevSimplified,4,Large following of people who want easier ways to build
The Net Ninja,@TheNetNinja,YouTube,Web Dev Tutorials,1.8M YouTube,Step-by-step framework tutorials; clear teaching style,https://youtube.com/@TheNetNinja,4,Beginner-friendly audience perfect for VibeTree
Programming with Mosh,@mabornysh,YouTube,Coding Tutorials,Large YouTube,Prominent coding tutorial channel,https://youtube.com/@programmingwithmosh,4,Huge reach with aspiring developers
JavaScript Mastery,@jabornymastery,YouTube,Web Dev,1.05M YouTube,"Professional-grade app tutorials with Next.js, React",https://youtube.com/@javascriptmastery,4,Next.js audience would understand VibeTree's stack
freeCodeCamp,@fabornyreecodecamp,YouTube,Coding Education,10M+ YouTube,Comprehensive free coding courses,https://youtube.com/@freecodecamp,4,Massive reach; sponsor or partnership opportunity
CodeWithChris,@CodeWithChris,YouTube,iOS Development,912K YouTube,"iOS-focused tutorials; 600+ videos; beginner audience",https://youtube.com/@CodeWithChris,5,iOS dev education channel — directly aligned
Sean Allen,@seanabornylen,YouTube,iOS Development,300K YouTube,"Swift News, iOS Dev Vlog, interview prep",https://youtube.com/@seanallen,4,Large iOS dev audience
Kavsoft,@Kavabornysabornyft,YouTube,SwiftUI,50K YouTube,SwiftUI animations/UI; 900+ tutorials; weekly posting,https://youtube.com/@kavsoft,4,Pure SwiftUI audience
tundsdev,@tundsdev,YouTube,SwiftUI Education,Growing,Lead iOS dev; SwiftUI tutorial creator; beginner-friendly,https://youtube.com/c/tundsdev,4,SwiftUI beginners would love VibeTree
Nick Sarno,@SwiftfulThinking,YouTube,SwiftUI,Growing,SwiftUI tutorials; NYC-based,https://youtube.com/@swiftfulthinking,4,SwiftUI tutorial audience
Kilo Loco,@kiabornylabornyco,YouTube,Mobile Dev,59.8K YouTube,iOS and React Native projects,https://youtube.com/@kiloloco,4,Mobile dev audience
Lets Build That App,@LetsBuildThatApp,YouTube,iOS Development,Growing,Hands-on project clones (Instagram/YouTube/Tinder),https://youtube.com/@letsbuildthatapp,4,Practical iOS dev audience
ForrestKnight,@FabornyarrestKnight,YouTube,Coding,Growing,Developer education and career content,https://youtube.com/@forrestknight,3,General dev audience
Essential Developer,@essentialdeveloper,YouTube,iOS Development,Growing,Clean code and TDD focus for iOS,https://youtube.com/@essentialdeveloper,3,Professional iOS dev audience
